id,inMap,translation,orientation
1,Yes,0.09,1.24
2,Yes,0.18,1.15
3,No,0.17,1.44
4,Yes,0.11,0.88
5,Yes,0.22,1.28
6,No,0.13,1.02
7,Yes,0.08,1.25
8,No,0.20,1.75
9,No,0.12,0.84
10,No,0.13,0.83
11,No,0.12,0.51
12,No,0.31,1.16
13,No,0.96,14.22
14,No,0.13,1.38
15,No,0.14,0.96
16,No,0.31,4.02
17,No,0.09,0.99
18,No,0.12,0.96
19,No,0.03,0.92
20,No,0.09,0.72
21,No,0.17,1.26
22,No,0.22,2.17
23,No,0.14,2.50
24,No,0.68,3.49
25,No,0.07,0.62
26,No,0.47,2.23
27,No,0.15,2.20
28,No,0.09,0.56
29,No,0.06,1.50
30,No,0.03,1.48
31,No,0.12,0.41
32,No,0.11,2.69
33,No,0.28,2.26
34,No,0.27,4.22
35,No,2.44,0.55
36,No,0.18,1.25
37,No,0.16,3.44
38,No,0.07,0.87
39,No,0.24,1.94
40,No,7.81,152.38
