id,translation,orientation
1,0.10,1.29
2,0.30,2.25
3,0.49,1.19
4,0.08,0.87
5,0.23,1.12
6,0.25,2.38
7,0.18,1.55
8,0.11,1.06
9,0.23,1.19
10,0.16,0.77
11,0.07,0.80
12,0.37,1.33
13,0.27,4.35
14,0.14,0.35
15,0.12,0.74
16,19.74,149.70
17,0.20,3.29
18,0.10,0.83
19,0.46,3.11
20,0.10,0.30
21,0.22,1.53
22,0.18,1.69
23,666.00,NaN
24,4.13,160.45
25,0.08,0.19
26,6.09,145.58
27,NaN,NaN
28,0.20,0.48
29,0.08,0.43
30,0.87,4.43
31,0.65,1.69
32,666.00,20.69
33,666.00,89.03
34,1.88,9.76
35,3.20,87.58
36,666.00,91.57
37,NaN,NaN
38,0.12,0.07
39,666.00,90.48
40,666.00,NaN
